syn1	syn2
n:food	07938313-n
n:group	07938773-n
n:group	07939159-n
n:group	07940242-n
n:group	07940448-n
n:group	07941170-n
n:group	07941729-n
n:group	07942152-n
n:group	07950920-n
n:group	07951464-n
n:group	07959393-n
n:group	07959659-n
n:group	07967382-n
n:group	07967982-n
n:group	07990377-n
n:group	07993776-n
n:group	07996149-n
n:group	07999699-n
n:group	08001083-n
n:group	08001685-n
n:group	08152657-n
n:group	08160276-n
n:group	08178741-n
n:group	08180190-n
n:group	08306665-n
n:group	08330514-n
n:group	08435388-n
n:group	08458504-n
n:location	08489497-n
n:location	08489627-n
n:location	08489765-n
n:location	08489890-n
n:location	08490039-n
n:location	08490199-n
n:location	08490402-n
n:location	08500433-n
n:location	08509111-n
n:location	08561081-n
n:location	08561230-n
n:location	08561351-n
n:location	08561462-n
n:location	08561583-n
n:location	08561714-n
n:location	08561835-n
n:location	08561946-n
n:location	08562067-n
n:location	08593262-n
n:location	08620061-n
n:location	08630039-n
n:location	08630985-n
n:location	08683383-n
n:location	08795880-n
n:motive	09178727-n
n:motive	09178821-n
n:motive	09180259-n
n:motive	09180431-n
n:motive	09183693-n
n:motive	09184834-n
n:object	09190918-n
n:object	09208496-n
n:object	09222406-n
n:object	09224911-n
n:object	09225146-n
n:object	09236766-n
n:object	09238143-n
n:object	09239740-n
n:object	09251689-n
n:object	09252586-n
n:object	09252970-n
n:object	09257949-n
n:object	09267490-n
n:object	09277686-n
n:object	09279458-n
n:object	09281777-n
n:object	09283193-n
n:object	09287968-n
n:object	09292751-n
n:object	09295338-n
n:object	09300905-n
n:object	09302031-n
n:object	09308398-n
n:object	09312645-n
n:object	09334396-n
n:object	09335240-n
n:object	09349797-n
n:object	09358550-n
n:object	09367203-n
n:object	09368224-n
n:object	09369169-n
n:object	09385911-n
n:object	09386842-n
n:object	09403211-n
n:object	09407346-n
n:object	09407867-n
n:object	09409203-n
n:object	09416076-n
n:object	09421425-n
n:object	09428967-n
n:object	09432990-n
n:object	09454412-n
n:object	09465459-n
n:object	09466280-n
n:object	09468237-n
n:object	09468959-n
n:object	09474162-n
n:object	09477037-n
n:person	09503682-n
n:person	09503877-n
n:person	09504464-n
n:person	09504603-n
n:person	09504915-n
n:person	09604981-n
n:person	09605289-n
n:person	09606009-n
n:person	09606527-n
n:person	09606873-n
n:person	09607280-n
n:person	09607630-n
n:person	09609232-n
n:person	09609561-n
n:person	09609871-n
n:person	09610255-n
n:person	09610405-n
n:person	09610660-n
n:person	09613191-n
n:person	09614047-n
n:person	09614315-n
n:person	09615465-n
n:person	09615807-n
n:person	09616922-n
n:person	09617696-n
n:person	09617867-n
n:person	09618957-n
n:person	09619168-n
n:person	09619824-n
n:person	09620078-n
n:person	09620794-n
n:person	09621232-n
n:person	09621359-n
n:person	09621545-n
n:person	09622049-n
n:person	09622302-n
n:person	09622928-n
n:person	09623038-n
n:person	09624168-n
n:person	09624980-n
n:person	09625401-n
n:person	09625789-n
n:person	09626031-n
n:person	09626238-n
n:person	09626589-n
n:person	09627017-n
n:person	09627117-n
n:person	09627462-n
n:person	09628382-n
n:person	09629246-n
n:person	09629752-n
n:person	09630641-n
n:person	09631129-n
n:person	09632274-n
n:person	09632518-n
n:person	09634494-n
n:person	09636106-n
n:person	09638875-n
n:person	09644820-n
n:person	09676884-n
n:person	09679170-n
n:person	09681351-n
n:person	09752246-n
n:person	09752381-n
n:person	09752519-n
n:person	09752657-n
n:person	09752795-n
n:person	09752927-n
n:person	09753065-n
n:person	09753204-n
n:person	09753348-n
n:person	09753498-n
n:person	09753642-n
n:person	09753792-n
n:person	09754051-n
n:person	09754541-n
n:person	09756961-n
n:person	09757944-n
n:person	09762821-n
n:person	09763784-n
n:person	09764201-n
n:person	09764900-n
n:person	09767197-n
n:person	09769636-n
n:person	09771664-n
n:person	09772330-n
n:person	09773245-n
n:person	09774167-n
n:person	09774783-n
n:person	09776261-n
n:person	09779124-n
n:person	09781650-n
n:person	09786585-n
n:person	09793141-n
n:person	09796809-n
n:person	09796974-n
n:person	09801102-n
n:person	09802445-n
n:person	09804230-n
n:person	09810364-n
n:person	09815076-n
n:person	09817536-n
n:person	09819860-n
n:person	09824609-n
n:person	09825413-n
n:person	09825519-n
n:person	09828403-n
n:person	09828600-n
n:person	09831856-n
n:person	09831962-n
n:person	09833896-n
n:person	09833997-n
n:person	09836160-n
n:person	09843602-n
n:person	09845401-n
n:person	09846265-n
n:person	09850457-n
n:person	09851165-n
n:person	09856671-n
n:person	09857852-n
n:person	09860415-n
n:person	09860506-n
n:person	09861287-n
n:person	09862845-n
n:person	09864536-n
n:person	09877856-n
n:person	09883452-n
n:person	09890749-n
n:person	09893502-n
n:person	09898892-n
n:person	09899289-n
n:person	09900711-n
n:person	09902954-n
n:person	09903936-n
n:person	09906449-n
n:person	09910374-n
n:person	09918554-n
n:person	09921673-n
n:person	09930464-n
n:person	09931267-n
n:person	09936620-n
n:person	09939313-n
n:person	09947127-n
n:person	09950457-n
n:person	09951274-n
n:person	09960315-n
n:person	09962414-n
n:person	09964411-n
n:person	09969491-n
n:person	09970088-n
n:person	09976119-n
n:person	09976429-n
n:person	09976728-n
n:person	09978889-n
n:person	09990415-n
n:person	09994943-n
n:person	09996481-n
n:person	09997212-n
n:person	09997622-n
n:person	10000007-n
n:person	10000616-n
n:person	10001058-n
n:person	10001647-n
n:person	10009926-n
n:person	10012377-n
n:person	10012815-n
n:person	10016954-n
n:person	10018021-n
n:person	10019888-n
n:person	10024362-n
n:person	10027246-n
n:person	10033225-n
n:person	10033663-n
n:person	10036266-n
n:person	10040617-n
n:person	10042845-n
n:person	10044682-n
n:person	10046527-n
n:person	10050712-n
n:person	10052843-n
n:person	10055730-n
n:person	10058411-n
n:person	10059162-n
n:person	10065547-n
n:person	10072708-n
n:person	10074841-n
n:person	10075899-n
n:person	10076778-n
n:person	10080337-n
n:person	10086074-n
n:person	10093396-n
n:person	10099375-n
n:person	10109662-n
n:person	10112591-n
n:person	10115082-n
n:person	10117511-n
n:person	10117739-n
n:person	10118844-n
n:person	10122128-n
n:person	10122300-n
n:person	10138369-n
n:person	10138767-n
n:person	10143725-n
n:person	10146927-n
n:person	10147262-n
n:person	10147619-n
n:person	10149436-n
n:person	10150794-n
n:person	10158756-n
n:person	10162194-n
n:person	10173895-n
n:person	10182913-n
n:person	10183157-n
n:person	10184946-n
n:person	10185148-n
n:person	10190745-n
n:person	10191001-n
n:person	10199783-n
n:person	10203839-n
n:person	10209888-n
n:person	10212780-n
n:person	10213429-n
n:person	10219879-n
n:person	10221656-n
n:person	10226993-n
n:person	10227266-n
n:person	10231087-n
n:person	10235549-n
n:person	10236842-n
n:person	10238272-n
n:person	10239761-n
n:person	10240082-n
n:person	10240514-n
n:person	10247044-n
n:person	10247880-n
n:person	10248876-n
n:person	10251779-n
n:person	10253122-n
n:person	10260706-n
n:person	10262183-n
n:person	10264219-n
n:person	10266328-n
n:person	10268299-n
n:person	10270878-n
n:person	10271525-n
n:person	10278666-n
n:person	10282920-n
n:person	10284965-n
n:person	10289039-n
n:person	10291110-n
n:person	10291730-n
n:person	10295819-n
n:person	10297234-n
n:person	10299700-n
n:person	10300303-n
n:person	10304383-n
n:person	10308066-n
n:person	10310903-n
n:person	10311823-n
n:person	10314182-n
n:person	10321754-n
n:person	10322238-n
n:person	10322546-n
n:person	10323999-n
n:person	10326551-n
n:person	10328941-n
n:person	10333165-n
n:person	10335563-n
n:person	10341660-n
n:person	10341955-n
n:person	10344774-n
n:person	10344922-n
n:person	10351625-n
n:person	10352299-n
n:person	10355142-n
n:person	10361060-n
n:person	10361296-n
n:person	10361390-n
n:person	10361525-n
n:person	10362003-n
n:person	10362319-n
n:person	10365399-n
n:person	10367409-n
n:person	10370381-n
n:person	10378412-n
n:person	10380126-n
n:person	10384496-n
n:person	10385707-n
n:person	10386071-n
n:person	10386515-n
n:person	10386618-n
n:person	10389398-n
n:person	10395390-n
n:person	10396462-n
n:person	10399299-n
n:person	10402417-n
n:person	10402824-n
n:person	10404550-n
n:person	10417682-n
n:person	10418101-n
n:person	10418735-n
n:person	10425946-n
n:person	10431625-n
n:person	10435716-n
n:person	10438172-n
n:person	10440580-n
n:person	10456603-n
n:person	10457777-n
n:person	10461169-n
n:person	10461424-n
n:person	10466918-n
n:person	10484739-n
n:person	10490965-n
n:person	10495167-n
n:person	10495975-n
n:person	10498699-n
n:person	10502046-n
n:person	10503452-n
n:person	10507692-n
n:person	10509605-n
n:person	10512982-n
n:person	10513823-n
n:person	10516692-n
n:person	10518349-n
n:person	10521470-n
n:person	10522759-n
n:person	10524973-n
n:person	10525134-n
n:person	10526534-n
n:person	10529231-n
n:person	10530959-n
n:person	10532576-n
n:person	10538154-n
n:person	10540656-n
n:person	10541229-n
n:person	10543795-n
n:person	10560637-n
n:person	10563711-n
n:person	10569179-n
n:person	10575594-n
n:person	10575787-n
n:person	10576223-n
n:person	10579676-n
n:person	10584853-n
n:person	10585077-n
n:person	10585976-n
n:person	10594043-n
n:person	10597234-n
n:person	10599354-n
n:person	10603959-n
n:person	10604180-n
n:person	10605088-n
n:person	10609325-n
n:person	10609686-n
n:person	10611541-n
n:person	10612803-n
n:person	10613505-n
n:person	10614225-n
n:person	10614363-n
n:person	10616578-n
n:person	10616670-n
n:person	10616779-n
n:person	10617904-n
n:person	10618007-n
n:person	10619492-n
n:person	10626722-n
n:person	10627349-n
n:person	10635788-n
n:person	10636874-n
n:person	10639047-n
n:person	10640968-n
n:person	10641551-n
n:person	10643727-n
n:person	10648033-n
n:person	10656223-n
n:person	10656488-n
n:person	10659762-n
n:person	10661216-n
n:person	10665302-n
n:person	10668666-n
n:person	10676682-n
n:person	10679998-n
n:person	10680910-n
n:person	10681060-n
n:person	10681383-n
n:person	10688811-n
n:person	10688975-n
n:person	10691600-n
n:person	10699752-n
n:person	10702167-n
n:person	10702615-n
n:person	10703336-n
n:person	10708797-n
n:person	10709256-n
n:person	10709529-n
n:person	10710632-n
n:person	10717461-n
n:person	10717589-n
n:person	10724372-n
n:person	10725734-n
n:person	10725893-n
n:person	10726031-n
n:person	10728998-n
n:person	10733350-n
n:person	10735564-n
n:person	10735852-n
n:person	10737431-n
n:person	10741590-n
n:person	10743675-n
n:person	10746346-n
n:person	10752480-n
n:person	10753061-n
n:person	10756641-n
n:person	10757625-n
n:person	10757918-n
n:person	10763725-n
n:person	10763878-n
n:person	10764296-n
n:person	10766025-n
n:person	10767020-n
n:person	10768585-n
n:person	10769782-n
n:person	10771636-n
n:person	10771990-n
n:person	10781236-n
n:person	10783539-n
n:person	10785695-n
n:person	10786517-n
n:person	10791890-n
n:person	10803193-n
n:phenomenon	11408559-n
n:phenomenon	11408733-n
n:phenomenon	11408914-n
n:phenomenon	11410625-n
n:phenomenon	11417561-n
n:phenomenon	11418138-n
n:phenomenon	11418460-n
n:phenomenon	11529295-n
n:plant	11530008-n
n:plant	11530149-n
n:plant	11530512-n
n:plant	11530715-n
n:plant	11530860-n
n:plant	11530990-n
n:plant	11531090-n
n:plant	11531193-n
n:plant	11536087-n
n:plant	11536230-n
n:plant	11536369-n
n:plant	11536567-n
n:plant	11536673-n
n:plant	11552133-n
n:plant	11552806-n
n:plant	11552976-n
n:plant	11553240-n
n:plant	11553419-n
n:plant	11553522-n
n:plant	11553634-n
n:plant	11686503-n
n:plant	11686780-n
n:plant	11686912-n
n:plant	11687071-n
n:plant	11688378-n
n:plant	11688552-n
n:plant	11688750-n
n:plant	12992868-n
n:plant	13083023-n
n:plant	13083306-n
n:plant	13083586-n
n:plant	13084479-n
n:plant	13084633-n
n:plant	13086908-n
n:plant	13092385-n
n:plant	13092548-n
n:plant	13100156-n
n:plant	13122985-n
n:plant	13123681-n
n:plant	13124164-n
n:plant	13124358-n
n:plant	13124529-n
n:plant	13124654-n
n:plant	13179056-n
n:possession	13240514-n
n:possession	13244109-n
n:possession	13252853-n
n:possession	13252973-n
n:possession	13329489-n
n:possession	13329641-n
n:possession	13370448-n
n:possession	13396054-n
n:possession	13403331-n
n:possession	13413493-n
n:process	13445972-n
n:process	13455906-n
n:process	13458571-n
n:process	13460299-n
n:process	13464820-n
n:process	13471206-n
n:process	13474495-n
n:process	13477462-n
n:process	13493998-n
n:process	13497135-n
n:process	13497928-n
n:process	13503226-n
n:process	13503908-n
n:process	13504173-n
n:process	13518963-n
n:process	13525549-n
n:process	13526110-n
n:process	13536794-n
n:process	13541167-n
n:process	13551617-n
n:process	13554343-n
n:process	13555446-n
n:process	13572324-n
n:quantity	13575869-n
n:quantity	13576101-n
n:quantity	13576355-n
n:quantity	13576982-n
n:quantity	13577171-n
n:quantity	13579829-n
n:quantity	13579933-n
n:quantity	13599547-n
n:quantity	13731530-n
n:quantity	13779032-n
n:quantity	13779244-n
n:quantity	13780180-n
n:relation	13780449-n
n:relation	13780606-n
n:relation	13780719-n
n:relation	13781164-n
n:relation	13782769-n
n:relation	13783038-n
n:relation	13783581-n
n:relation	13790712-n
n:relation	13791389-n
n:relation	13794226-n
n:relation	13797142-n
n:relation	13809207-n
n:relation	13811410-n
n:relation	13812607-n
n:relation	13815152-n
n:relation	13827205-n
n:relation	13836841-n
n:relation	13837439-n
n:relation	13840719-n
n:relation	13840958-n
n:relation	13841213-n
n:relation	13844212-n
n:relation	13844690-n
n:relation	13853808-n
n:relation	13854649-n
n:relation	13859043-n
n:shape	13860793-n
n:shape	13861050-n
n:shape	13862282-n
n:shape	13862644-n
n:shape	13862780-n
n:shape	13863771-n
n:shape	13864763-n
n:shape	13865483-n
n:shape	13867276-n
n:shape	13867492-n
n:shape	13870805-n
n:shape	13873917-n
n:shape	13878951-n
n:shape	13879634-n
n:shape	13900422-n
n:shape	13900760-n
n:shape	13910384-n
n:state	13920012-n
n:state	13920169-n
n:state	13920322-n
n:state	13920429-n
n:state	13920835-n
n:state	13924069-n
n:state	13924196-n
n:state	13926451-n
n:state	13927383-n
n:state	13928388-n
n:state	13928668-n
n:state	13928943-n
n:state	13932045-n
n:state	13932213-n
n:state	13939353-n
n:state	13939734-n
n:state	13939892-n
n:state	13945102-n
n:state	13945919-n
n:state	13954253-n
n:state	13959818-n
n:state	13962498-n
n:state	13968092-n
n:state	13968308-n
n:state	13968547-n
n:state	13972797-n
n:state	13980288-n
n:state	13980845-n
n:state	13983147-n
n:state	13991823-n
n:state	14000403-n
n:state	14001348-n
n:state	14004317-n
n:state	14006179-n
n:state	14006821-n
n:state	14006945-n
n:state	14010148-n
n:state	14015731-n
n:state	14030820-n
n:state	14031108-n
n:state	14033917-n
n:state	14270016-n
n:state	14315071-n
n:state	14414294-n
n:state	14418395-n
n:state	14424780-n
n:state	14425974-n
n:state	14458181-n
n:state	14458593-n
n:state	14458943-n
n:state	14459185-n
n:state	14459422-n
n:state	14460565-n
n:state	14462666-n
n:state	14479320-n
n:state	14479488-n
n:state	14490110-n
n:state	14540564-n
n:state	14541044-n
n:state	14562960-n
n:state	14564056-n
n:state	14564165-n
n:state	14568762-n
n:state	14569337-n
n:state	14569508-n
n:state	14569683-n
n:state	14569844-n
n:state	14570091-n
n:state	14570330-n
n:state	14578792-n
n:state	14580476-n
n:substance	14580597-n
n:substance	14580752-n
n:substance	14580897-n
n:substance	14582025-n
n:substance	14582220-n
n:substance	14582535-n
n:substance	14582716-n
n:substance	14582870-n
n:substance	14583228-n
n:substance	14583400-n
n:substance	14583573-n
n:substance	14584110-n
n:substance	14584260-n
n:substance	14584390-n
n:substance	14584502-n
n:substance	14584658-n
n:substance	14586258-n
n:substance	14590975-n
n:substance	14616939-n
n:substance	14619225-n
n:substance	14622893-n
n:substance	14624743-n
n:substance	14691822-n
n:substance	14710024-n
n:substance	14723079-n
n:substance	14724436-n
n:substance	14738752-n
n:substance	14738892-n
n:substance	14778436-n
n:substance	14786479-n
n:substance	14793812-n
n:substance	14834714-n
n:substance	14840755-n
n:substance	14873056-n
n:substance	14875077-n
n:substance	14890659-n
n:substance	14899152-n
n:substance	14899328-n
n:substance	14899530-n
n:substance	14904661-n
n:substance	14908683-n
n:substance	14919272-n
n:substance	14925198-n
n:substance	14934031-n
n:substance	14939445-n
n:substance	14939900-n
n:substance	14977504-n
n:substance	14981183-n
n:substance	15003797-n
n:substance	15004501-n
n:substance	15029646-n
n:substance	15032376-n
n:substance	15032661-n
n:substance	15037339-n
n:substance	15046900-n
n:substance	15047849-n
n:substance	15093735-n
n:substance	15109745-n
n:substance	15110096-n
n:substance	15110307-n
n:substance	15110796-n
n:substance	15110956-n
n:substance	15112086-n
n:time	15116283-n
n:time	15116532-n
n:time	15116724-n
n:time	15116910-n
n:time	15117246-n
n:time	15119536-n
n:time	15120823-n
n:time	15121625-n
n:time	15122011-n
n:time	15123754-n
n:time	15130205-n
n:time	15133488-n
n:time	15154774-n
n:time	15180528-n
n:time	15243976-n
n:time	15256915-n
n:time	15269513-n
