syn1	syn2
03009633-n	n:artifact
03076708-n	n:artifact
03089348-n	n:artifact
03122748-n	n:artifact
03129123-n	n:artifact
03149951-n	n:artifact
03168364-n	n:artifact
03169390-n	n:artifact
03233423-n	n:artifact
03280064-n	n:artifact
03302121-n	n:artifact
03307981-n	n:artifact
03309808-n	n:artifact
03315023-n	n:artifact
03338648-n	n:artifact
03354613-n	n:artifact
03364340-n	n:artifact
03532080-n	n:artifact
03573282-n	n:artifact
03575240-n	n:artifact
03588414-n	n:artifact
03595179-n	n:artifact
03610270-n	n:artifact
03623448-n	n:artifact
03650173-n	n:artifact
03655838-n	n:artifact
03670849-n	n:artifact
03714721-n	n:artifact
03721797-n	n:artifact
03803911-n	n:artifact
03832799-n	n:artifact
03848729-n	n:artifact
03873064-n	n:artifact
03892891-n	n:artifact
03964744-n	n:artifact
04012260-n	n:artifact
04058921-n	n:artifact
04083468-n	n:artifact
04188643-n	n:artifact
04248010-n	n:artifact
04274530-n	n:artifact
04291511-n	n:artifact
04292733-n	n:artifact
04339291-n	n:artifact
04341686-n	n:artifact
04345288-n	n:artifact
04347225-n	n:artifact
04353803-n	n:artifact
04362025-n	n:artifact
04424218-n	n:artifact
04424418-n	n:artifact
04463983-n	n:artifact
04486445-n	n:artifact
04550840-n	n:artifact
04564698-n	n:artifact
04571088-n	n:artifact
04615866-n	n:attribute
04616059-n	n:attribute
04616916-n	n:attribute
04617289-n	n:attribute
04617441-n	n:attribute
04617562-n	n:attribute
04630689-n	n:attribute
04631298-n	n:attribute
04691992-n	n:attribute
04723286-n	n:attribute
04723436-n	n:attribute
04723816-n	n:attribute
04916342-n	n:attribute
04921011-n	n:attribute
05074774-n	n:attribute
05091770-n	n:attribute
05134353-n	n:attribute
05216365-n	n:body
05217859-n	n:body
05229622-n	n:body
05242752-n	n:body
05263850-n	n:body
05268383-n	n:body
05430628-n	n:body
05431402-n	n:body
05431926-n	n:body
05432623-n	n:body
05432736-n	n:body
05447757-n	n:body
05449538-n	n:body
05456732-n	n:body
05458412-n	n:body
05458703-n	n:body
05459457-n	n:body
05459590-n	n:body
05611302-n	n:cognition
05611822-n	n:cognition
05612067-n	n:cognition
05612358-n	n:cognition
05616246-n	n:cognition
05640433-n	n:cognition
05644922-n	n:cognition
05651068-n	n:cognition
05651242-n	n:cognition
05667196-n	n:cognition
05686481-n	n:cognition
05695554-n	n:cognition
05701363-n	n:cognition
05701738-n	n:cognition
05710020-n	n:cognition
05726345-n	n:cognition
05809192-n	n:cognition
05810143-n	n:cognition
05816287-n	n:cognition
05855517-n	n:cognition
06156752-n	n:cognition
06193203-n	n:cognition
06246361-n	n:cognition
06252138-n	n:communication
06253690-n	n:communication
06282383-n	n:communication
06282651-n	n:communication
06349220-n	n:communication
06598915-n	n:communication
06600421-n	n:communication
06791372-n	n:communication
06793231-n	n:communication
06797169-n	n:communication
06873252-n	n:communication
06887726-n	n:communication
07066659-n	n:communication
07082025-n	n:communication
07109019-n	n:communication
07110615-n	n:communication
07160883-n	n:communication
07255791-n	n:communication
07277697-n	n:communication
07283364-n	n:event
07283473-n	n:event
07283608-n	n:event
07288639-n	n:event
07288801-n	n:event
07312829-n	n:event
07322769-n	n:event
07478531-n	n:event
07479628-n	n:event
07479926-n	n:feeling
07480068-n	n:feeling
07480356-n	n:feeling
07480521-n	n:feeling
07480666-n	n:feeling
07480790-n	n:feeling
07480896-n	n:feeling
07481951-n	n:feeling
07482521-n	n:feeling
07483305-n	n:feeling
07483622-n	n:feeling
07484265-n	n:feeling
07487695-n	n:feeling
07490713-n	n:feeling
07494363-n	n:feeling
07494972-n	n:feeling
07497473-n	n:feeling
07501545-n	n:feeling
07504343-n	n:feeling
07504711-n	n:feeling
07505538-n	n:feeling
07506569-n	n:feeling
07508486-n	n:feeling
07509131-n	n:feeling
07509572-n	n:feeling
07509827-n	n:feeling
07510923-n	n:feeling
07511906-n	n:feeling
07512147-n	n:feeling
07512465-n	n:feeling
07513508-n	n:feeling
07514968-n	n:feeling
07526182-n	n:feeling
07526757-n	n:feeling
07532440-n	n:feeling
07541053-n	n:feeling
07541923-n	n:feeling
07544647-n	n:feeling
07551052-n	n:feeling
07553301-n	n:feeling
07555014-n	n:feeling
07556406-n	n:food
07556637-n	n:food
07560652-n	n:food
07566340-n	n:food
07570720-n	n:food
07572353-n	n:food
07800091-n	n:food
07851054-n	n:food
07860629-n	n:food
07881800-n	n:food
07935504-n	n:food
07938313-n	n:food
07938773-n	n:group
07939159-n	n:group
07940242-n	n:group
07940448-n	n:group
07941170-n	n:group
07941729-n	n:group
07942152-n	n:group
07950920-n	n:group
07951464-n	n:group
07959393-n	n:group
07959659-n	n:group
07967382-n	n:group
07967982-n	n:group
07990377-n	n:group
07993776-n	n:group
07996149-n	n:group
07999699-n	n:group
08001083-n	n:group
08001685-n	n:group
08152657-n	n:group
08160276-n	n:group
08178741-n	n:group
08180190-n	n:group
08306665-n	n:group
08330514-n	n:group
08435388-n	n:group
08458504-n	n:group
08489497-n	n:location
08489627-n	n:location
08489765-n	n:location
08489890-n	n:location
08490039-n	n:location
08490199-n	n:location
08490402-n	n:location
08500433-n	n:location
08509111-n	n:location
08561081-n	n:location
08561230-n	n:location
08561351-n	n:location
08561462-n	n:location
08561583-n	n:location
08561714-n	n:location
08561835-n	n:location
08561946-n	n:location
08562067-n	n:location
08593262-n	n:location
08620061-n	n:location
08630039-n	n:location
08630985-n	n:location
08683383-n	n:location
08795880-n	n:location
09178727-n	n:motive
09178821-n	n:motive
09180259-n	n:motive
09180431-n	n:motive
09183693-n	n:motive
09184834-n	n:motive
09190918-n	n:object
09208496-n	n:object
09222406-n	n:object
09224911-n	n:object
09225146-n	n:object
09236766-n	n:object
09238143-n	n:object
09239740-n	n:object
09251689-n	n:object
09252586-n	n:object
09252970-n	n:object
09257949-n	n:object
09267490-n	n:object
09277686-n	n:object
09279458-n	n:object
09281777-n	n:object
09283193-n	n:object
09287968-n	n:object
09292751-n	n:object
09295338-n	n:object
09300905-n	n:object
09302031-n	n:object
09308398-n	n:object
09312645-n	n:object
09334396-n	n:object
09335240-n	n:object
09349797-n	n:object
09358550-n	n:object
09367203-n	n:object
09368224-n	n:object
09369169-n	n:object
09385911-n	n:object
09386842-n	n:object
09403211-n	n:object
09407346-n	n:object
09407867-n	n:object
09409203-n	n:object
09416076-n	n:object
09421425-n	n:object
09428967-n	n:object
09432990-n	n:object
09454412-n	n:object
09465459-n	n:object
09466280-n	n:object
09468237-n	n:object
09468959-n	n:object
09474162-n	n:object
09477037-n	n:object
09503682-n	n:person
09503877-n	n:person
09504464-n	n:person
09504603-n	n:person
09504915-n	n:person
09604981-n	n:person
09605289-n	n:person
09606009-n	n:person
09606527-n	n:person
09606873-n	n:person
09607280-n	n:person
09607630-n	n:person
09609232-n	n:person
09609561-n	n:person
09609871-n	n:person
09610255-n	n:person
